Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_11_961.jpg;0;-0.6001457;0;-0.1579758;112.755;151.6479;359.2159;87.58464;-0.001240591
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_12_027.jpg;0;-0.4013026;0;-0.2036053;112.7544;151.6324;359.0257;87.6367;0.0005267895
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_12_094.jpg;0;-0.2005769;0;-0.2227362;112.7536;151.6113;358.8351;87.82825;-0.0004418575
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_12_161.jpg;-2.98637;-0.001485541;0;-0.2341983;112.7528;151.596;358.7778;87.78129;1.558658E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_12_227.jpg;-5.99322;0;0;-0.20394;112.7522;151.5864;358.9206;86.87921;-0.002613836
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_12_295.jpg;-9.003121;0;0;-0.1438462;112.752;151.5822;359.312;84.90154;-0.002790635
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_12_362.jpg;-12.01076;0;0;-0.1126665;112.7519;151.5816;359.6505;82.83035;0.01305705
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_12_427.jpg;-14.99101;0;0;-0.1004304;112.7519;151.5813;359.9739;80.31142;0.04992024
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_12_495.jpg;-15;0;0;-0.09344772;112.752;151.5809;0.3613133;76.713;0.1330932
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_12_562.jpg;-15;0;0;-0.08549967;112.7521;151.5804;0.6027496;74.01143;0.2042829
